original_code,brand,name,value,price_per_kilo,unit,url,image,supermarket,privateLabel
7471799,JOHNSON BABY,Αφρόλουτρο & Σαμπουάν Cotton Touch 2σε1 500ml,3.38,6.76,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Afroloytro-and-Sampoyan-Cotton-Touch-2se1-500ml/p/7471799,https://www.ab.gr/medias/sys_master/h7c/h41/9501124591646.jpg,ab,False
7770317,ADVANCE,Παιδικό με Λαχανικά Καρότο Αρακά 2x135g,1.66,6.15,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Vrefika-giaoyrtia/Paidiko-me-Lachanika-Karoto-Araka-2x135g/p/7770317,https://www.ab.gr/medias/sys_master/products/hfe/he8/10314532388894.jpg,ab,False
7475855,NUTRICIA,Βρεφική Κρέμα Ρυζάλευρο Βανίλια 250gr,3.13,12.52,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Vrefikes-kremes/Vrefiki-Krema-Ryzaleyro-Vanilia-250gr/p/7475855,https://www.ab.gr/medias/sys_master/h2e/h85/9777684611102.jpg,ab,False
7068172,ALMIRON,Γάλα Μακράς Διάρκειας Για Νήπια 1+ Ετών 1lt,2.18,2.18,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Gala-rofimata-2is-ilikias-kai-ano/Gala-Makras-Diarkeias-Gia-Nipia-1-Eton-1lt/p/7068172,https://www.ab.gr/medias/sys_master/products/hcc/h2b/10386176737310.jpg,ab,False
7321736,NUTRICIA,Βρεφικά Μπισκότα Δημητριακών Biskotti Ζωάκια 180gr,2.66,14.78,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Etoima-Vrefika-Geymata/Vrefika-Mpiskota-Dimitriakon-Biskotti-Zoakia-180gr/p/7321736,https://www.ab.gr/medias/sys_master/h72/hb3/9777681596446.jpg,ab,False
7643753,HIPP,Σνακ Δημητριακών Bio Mini Dinos με Φρούτα 30g,3.17,105.67,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Etoima-Vrefika-Geymata/Snak-Dimitriakon-Bio-Mini-Dinos-me-Froyta-30g/p/7643753,https://www.ab.gr/medias/sys_master/products/h0d/he8/10092095569950.jpg,ab,False
7742600,SEPTONA,Μωρομάντηλα Ecolife 3x60 Τεμάχια,3.87,0.02,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Moromantila/Moromantila-Ecolife-3x60-Temachia/p/7742600,https://www.ab.gr/medias/sys_master/products/h1b/h92/10208111722526.jpg,ab,False
7647384,PAMPERS,Πάνες Βρακάκι Μωρού Pants Νο8 32 Τεμάχια,13.13,0.41,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Panes-Vrakaki-Moroy/Panes-Vrakaki-Moroy-Pants-No8-32-Temachia/p/7647384,https://www.ab.gr/medias/sys_master/products/hca/h9b/10378958667806.jpg,ab,False
7734826,PAMPERS,Πάνες Μωρού Premium Care Νο5 58 Τεμάχια,17.46,0.3,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Anoichtes-Panes-Moroy/Panes-Moroy-Premium-Care-No5-58-Temachia/p/7734826,https://www.ab.gr/medias/sys_master/products/h48/he0/10378962960414.jpg,ab,False
7484100,PAMPERS,Πάνες βρακάκι Μωρού Premium Pants Νο4 9-15kg 38 Τεμάχια,13.43,0.35,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Panes-Vrakaki-Moroy/Panes-vrakaki-Moroy-Premium-Pants-No4-9-15kg-38-Temachia/p/7484100,https://www.ab.gr/medias/sys_master/products/ha9/h20/10378953261086.jpg,ab,False
7556707,NAN,Γάλα Βρεφικό Σκόνη Supreme Pro Νο1 Από Γέννηση 400gr,15.32,38.3,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Gala-rofimata-1is-ilikias/Gala-Vrefiko-Skoni-Supreme-Pro-No1-Apo-Gennisi-400gr/p/7556707,https://www.ab.gr/medias/sys_master/hbb/h54/10012088631326.jpg,ab,False
7641075,NESTLE,Βρεφικά Δημητριακά Gerber Βρώμη Μπισκότο Βιολογικά 200g,3.95,19.75,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Vrefikes-kremes/Vrefika-Dimitriaka-Gerber-Vromi-Mpiskoto-Viologika-200g/p/7641075,https://www.ab.gr/medias/sys_master/h9e/hc4/9539148218398.jpg,ab,False
7475856,NUTRICIA,Βρεφική Κρέμα Μπισκοτόκρεμα 250gr,2.96,11.84,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Vrefikes-kremes/Vrefiki-Krema-Mpiskotokrema-250gr/p/7475856,https://www.ab.gr/medias/sys_master/h46/he1/9777682972702.jpg,ab,False
7471739,JOHNSON BABY,Αφρόλουτρο Baby Bedtime 500ml,2.89,5.78,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Afroloytro-Baby-Bedtime-500ml/p/7471739,https://www.ab.gr/medias/sys_master/h50/hf9/9501165551646.jpg,ab,False
7471928,JOHNSON BABY,Baby Oil  300ml,3.18,10.6,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefikes-Kremes-Somatos-and-Poydres/Baby-Oil-300ml/p/7471928,https://www.ab.gr/medias/sys_master/h77/h38/9501152837662.jpg,ab,False
7225479,PRODERM,Σαμπουάν & Αφρόλουτρο Παιδικό Νο2 400ml,3.54,8.85,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Sampoyan-and-Afroloytro-Paidiko-No2-400ml/p/7225479,https://www.ab.gr/medias/sys_master/ha2/h39/9698670837790.jpg,ab,False
7471738,JOHNSON BABY,Σαμπουάν Παιδικό Shiny Drops 500ml,2.75,5.5,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Sampoyan-Paidiko-Shiny-Drops-500ml/p/7471738,https://www.ab.gr/medias/sys_master/h61/h14/9501164437534.jpg,ab,False
7473134,JOHNSON BABY,Conditioner Σπρέυ Παιδικό Shiny Drops 200ml,3.05,15.25,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Conditioner-Sprey-Paidiko-Shiny-Drops-200ml/p/7473134,https://www.ab.gr/medias/sys_master/h4e/h55/9501172236318.jpg,ab,False
